date,price,bedrooms,grade,has_basement,living_in_m2,renovated,nice_view,perfect_condition,real_bathrooms,has_lavatory,single_floor,month,quartile_zone
5/15/2014,312000,2,2,TRUE,138.42547,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,1
11/14/2014,310000,2,2,FALSE,105.90942,FALSE,FALSE,FALSE,1,TRUE,FALSE,11,3
12/24/2014,320000,2,2,FALSE,117.98681,FALSE,TRUE,FALSE,1,FALSE,TRUE,12,2
2/22/2015,264500,2,3,FALSE,151.43189,FALSE,FALSE,FALSE,2,TRUE,TRUE,2,1
1/6/2015,700000,3,2,TRUE,341.88304,FALSE,FALSE,FALSE,3,FALSE,FALSE,1,4
3/4/2015,445000,1,2,TRUE,84.54173,FALSE,TRUE,FALSE,1,FALSE,TRUE,3,3
6/4/2014,240500,2,2,TRUE,135.63838,FALSE,FALSE,FALSE,1,TRUE,TRUE,6,1
10/22/2014,235000,1,1,FALSE,139.3545,FALSE,FALSE,FALSE,1,FALSE,TRUE,10,1
7/11/2014,206000,2,2,FALSE,105.90942,FALSE,FALSE,FALSE,1,TRUE,TRUE,7,1
9/3/2014,545000,2,3,FALSE,118.91584,FALSE,FALSE,FALSE,2,TRUE,FALSE,9,4
5/13/2014,475000,3,5,TRUE,347.45722,FALSE,FALSE,FALSE,2,TRUE,TRUE,5,2
10/2/2014,456000,3,3,TRUE,206.24466,FALSE,FALSE,FALSE,1,TRUE,TRUE,10,4
1/23/2015,478000,2,2,TRUE,145.85771,FALSE,FALSE,FALSE,2,TRUE,TRUE,1,4
7/12/2014,690000,3,4,FALSE,269.4187,FALSE,FALSE,FALSE,2,TRUE,FALSE,7,4
5/16/2014,675000,3,4,FALSE,297.2896,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,3
7/30/2014,442500,2,2,TRUE,167.2254,FALSE,FALSE,FALSE,1,TRUE,TRUE,7,2
6/8/2014,540000,3,3,TRUE,266.63161,FALSE,FALSE,FALSE,3,FALSE,FALSE,6,3
7/22/2014,255000,3,2,TRUE,163.50928,FALSE,FALSE,FALSE,2,TRUE,TRUE,7,1
8/26/2014,399950,2,2,TRUE,136.56741,FALSE,FALSE,FALSE,1,FALSE,TRUE,8,3
11/17/2014,455000,3,2,TRUE,178.37376,FALSE,FALSE,FALSE,1,TRUE,TRUE,11,2
2/27/2015,435000,1,2,TRUE,91.97397,FALSE,FALSE,FALSE,1,FALSE,TRUE,2,3
10/29/2014,470000,3,3,FALSE,234.11556,FALSE,FALSE,FALSE,2,TRUE,FALSE,10,2
10/10/2014,155000,1,1,FALSE,93.83203,FALSE,FALSE,FALSE,1,FALSE,FALSE,10,2
11/5/2014,82000,2,1,FALSE,79.89658,FALSE,FALSE,FALSE,1,FALSE,TRUE,11,1
9/25/2014,650000,3,4,FALSE,261.98646,FALSE,FALSE,FALSE,2,TRUE,FALSE,9,4
8/8/2014,219950,1,1,FALSE,93.83203,TRUE,FALSE,FALSE,1,FALSE,FALSE,8,1
10/21/2014,489000,1,2,TRUE,136.102895,FALSE,FALSE,FALSE,2,TRUE,FALSE,10,4
8/18/2014,442500,3,2,FALSE,143.07062,FALSE,FALSE,TRUE,2,FALSE,FALSE,8,2
3/9/2015,314950,2,2,FALSE,157.00607,FALSE,FALSE,FALSE,2,TRUE,FALSE,3,2
4/12/2015,575000,1,3,TRUE,114.27069,FALSE,FALSE,FALSE,1,TRUE,TRUE,4,3
3/30/2015,740000,3,3,TRUE,207.17369,FALSE,TRUE,FALSE,2,TRUE,FALSE,3,4
6/2/2014,820000,2,3,TRUE,200.67048,FALSE,FALSE,FALSE,1,TRUE,TRUE,6,3
